dataset,algorithm,setting,k,r,n,seeds,macro_f1_best_mean,macro_f1_best_std,macro_f1_mean_mean,macro_f1_mean_std,mia_auc_mean,mia_auc_std,trajectory_l1_mean,trajectory_l1_std,label_l1_mean,label_l1_std,target_exposure_mean,target_exposure_std,solve_time_sec_mean,solve_time_sec_std
20newsgroups,d-federaser,AS,1,,3,"42,43,44",0.2339537437757252,0.09894729187396853,0.2339537437757252,0.09894729187396853,0.520606807316228,0.06505481848547484,2.081831849028232,0.10431259998274059,0.7722622920193936,0.06884663819149883,0.12419044010015405,0.1318998355879666,0.01584513982137044,0.0018957041126349285
20newsgroups,d-federaser,AS,2,,3,"42,43,44",0.3838873923349214,0.028925028709308204,0.3838873923349214,0.028925028709308204,0.5073355338945785,0.03198968012357312,1.1143518887192545,0.07527492449982648,0.5176195306105046,0.017025424918577364,0.1310730635364205,0.08264562586058682,0.2000570297241211,0.015641535323082028
20newsgroups,d-federaser,AS,3,,3,"42,43,44",0.3841548850759377,0.024478846722378763,0.38415488507593776,0.02447884672237876,0.5110241119307903,0.004032382754557858,0.8095863240339504,0.06454323570886872,0.39829066236055677,0.03155856380214364,0.16690544432771365,0.07253771140343489,0.23536976178487143,0.032566152039221426
20newsgroups,d-federaser,AS,4,,3,"42,43,44",0.46829441800030036,0.023371334866521952,0.4315060925387012,0.038022897027052145,0.5162016401456915,0.02695984918940134,0.6125755987468674,0.06890445981630446,0.24499125337156585,0.02808034008744505,0.15380060753169855,0.051436576126419276,0.24555659294128418,0.035981814667061664
20newsgroups,d-federaser,AS,5,,3,"42,43,44",0.4385916860916861,0.04502416896336112,0.4086864275311128,0.04093413625672645,0.5210234843538691,0.022625102035991534,0.43677973502357736,0.006068304311647626,0.20172050120484977,0.011665690174078374,0.12892537585667374,0.06196662727527221,0.22144452730814615,0.03466576507473921
20newsgroups,d-federaser,AS,6,,3,"42,43,44",0.44134488297531776,0.03424935140905743,0.3967436771251944,0.021350264246883792,0.50561641988002,0.005827407190177424,0.3432411094332544,0.038339508080612206,0.14326661465807217,0.01796280249204623,0.116856363967115,0.027837653103649593,0.18433904647827148,0.03422750728541955
20newsgroups,d-federaser,AS,7,,3,"42,43,44",0.4294435412655227,0.056514320228205336,0.3832079876919614,0.03570302842436044,0.522297586156814,0.0154927364205435,0.22017089808382223,0.05250970356196759,0.12127832824761127,0.01738936289813555,0.10563011161633463,0.028066457060894064,0.11983672777811687,0.005936109877321236
20newsgroups,d-federaser,AS,8,,3,"42,43,44",0.42693606416516633,0.025769788837273228,0.3758536333897091,0.02446939447951239,0.5292598099845999,0.0014306791413908884,0.14949868236257724,0.036503270792561014,0.0730178118563928,0.011044526315460521,0.11471318691281021,0.028771767629702575,0.09020527203877766,0.014100330783290862
20newsgroups,d-federaser,AS,9,,3,"42,43,44",0.46330099553009774,0.06595887193561764,0.38831289227665305,0.0311156510292913,0.5285335151249938,0.008791696439159849,2.1206994493816467e-15,1.600457201381835e-15,9.853229343548264e-16,8.505359404188939e-16,0.11558977233808167,0.022893532930897968,0.005269368489583333,0.0004030710042176505
20newsgroups,d-federaser,LS,,0.1,3,"42,43,44",0.38502614926363193,0.036441060801994225,0.2889293078936812,0.011789339532750687,0.5716320942695703,0.03352327536572364,,,,,,,,
20newsgroups,d-federaser,LS,,0.2,3,"42,43,44",0.4184042589963643,0.03723074879419583,0.3703061016177683,0.03410187586167122,0.5527390080611368,0.017470127413631936,,,,,,,,
20newsgroups,d-federaser,LS,,0.3,3,"42,43,44",0.44764136448346975,0.05559186322766267,0.38530700999572426,0.04076375211106271,0.5369906601662461,0.014288830424281796,,,,,,,,
20newsgroups,d-federaser,LS,,0.4,3,"42,43,44",0.4763864911891228,0.012960572658621146,0.39235081075493433,0.02032890871775508,0.5366950572538071,0.016394940338190323,,,,,,,,
20newsgroups,d-federaser,LS,,0.5,3,"42,43,44",0.4757290476408124,0.021314995395453628,0.3981067099266937,0.031138178056751013,0.5330955242277666,0.011241660575366082,,,,,,,,
20newsgroups,d-federaser,LS,,0.6,3,"42,43,44",0.4714351226115932,0.013761001567645079,0.3973648695499413,0.01852068307343299,0.5366666248282053,0.0064201957027185405,,,,,,,,
20newsgroups,d-federaser,LS,,0.7,3,"42,43,44",0.4548527009053325,0.055370604707250866,0.39649280075977916,0.027814235308285563,0.5358177259916903,0.011868419616694638,,,,,,,,
20newsgroups,d-federaser,LS,,0.8,3,"42,43,44",0.44932948513898163,0.034235026608996647,0.3893444202577198,0.021367894661441657,0.5425157871052019,0.021206273506263796,,,,,,,,
20newsgroups,d-federaser,LS,,0.9,3,"42,43,44",0.4500056180203239,0.037151532893627076,0.3825069138659959,0.020328764634541568,0.5409508407296996,0.01802779516954894,,,,,,,,
20newsgroups,d-federaser,LS,,1.0,3,"42,43,44",0.44525523281328233,0.03237782470805728,0.38156557381947864,0.021633696142835085,0.5407470094186886,0.01752325562345163,,,,,,,,
20newsgroups,d-fedosd,AS,1,,3,"42,43,44",0.1589830724830725,0.11374334812057048,0.1589830724830725,0.11374334812057048,0.48825785497612123,0.0849914166340437,2.081831849028232,0.10431259998274059,0.7722622920193936,0.06884663819149883,0.12419044010015405,0.1318998355879666,0.016448418299357098,0.0007380595488933526
20newsgroups,d-fedosd,AS,2,,3,"42,43,44",0.3671698606786326,0.10443810884640652,0.3671698606786326,0.10443810884640652,0.5260053622725007,0.04044342467270731,1.1143518887192545,0.07527492449982648,0.5176195306105046,0.017025424918577364,0.1310730635364205,0.08264562586058682,0.19536749521891275,0.00918201372354767
20newsgroups,d-fedosd,AS,3,,3,"42,43,44",0.47485913052089523,0.04531873059476921,0.4726986366937348,0.04256770839077985,0.5799356425185704,0.03534475114640903,0.8095863240339504,0.06454323570886872,0.39829066236055677,0.03155856380214364,0.16690544432771365,0.07253771140343489,0.23426739374796549,0.03164569521407162
20newsgroups,d-fedosd,AS,4,,3,"42,43,44",0.41157957582109156,0.052743728558332065,0.365247706972349,0.049481230546962476,0.5498863420966473,0.03881600141295604,0.6125755987468674,0.06890445981630446,0.24499125337156585,0.02808034008744505,0.15380060753169855,0.051436576126419276,0.2913201649983724,0.06508978149137319
20newsgroups,d-fedosd,AS,5,,3,"42,43,44",0.4593275188863424,0.02485278173918241,0.40994472049615066,0.040017574760314936,0.5487257422905366,0.03422347106706671,0.43677973502357736,0.006068304311647626,0.20172050120484977,0.011665690174078374,0.12892537585667374,0.06196662727527221,0.2283167839050293,0.0396353546939216
20newsgroups,d-fedosd,AS,6,,3,"42,43,44",0.4719511287932341,0.04927829265556267,0.38785515869870846,0.026812851219027507,0.5662606137617194,0.03982630891202161,0.3432411094332544,0.038339508080612206,0.14326661465807217,0.01796280249204623,0.116856363967115,0.027837653103649593,0.18730950355529785,0.029418017647132023
20newsgroups,d-fedosd,AS,7,,3,"42,43,44",0.4895912513412514,0.04307810522102746,0.3855043757304861,0.035942081389908134,0.5616302387895236,0.06755107438911022,0.22017089808382223,0.05250970356196759,0.12127832824761127,0.01738936289813555,0.10563011161633463,0.028066457060894064,0.12230173746744792,0.01203236251435374
20newsgroups,d-fedosd,AS,8,,3,"42,43,44",0.47843111255515347,0.0318215538106325,0.3764352249561965,0.029493444844353726,0.5520524118738405,0.05567431858964744,0.14949868236257724,0.036503270792561014,0.0730178118563928,0.011044526315460521,0.11471318691281021,0.028771767629702575,0.08726565043131511,0.01046587298889565
20newsgroups,d-fedosd,AS,9,,3,"42,43,44",0.4505795674913322,0.02020499183766371,0.36684141838725204,0.020079228398851536,0.539069450214961,0.06021726057079694,2.1206994493816467e-15,1.600457201381835e-15,9.853229343548264e-16,8.505359404188939e-16,0.11558977233808167,0.022893532930897968,0.005563100179036458,0.0006876118120616969
20newsgroups,d-fedosd,LS,,0.1,3,"42,43,44",0.6025162582515523,0.02396333118192683,0.5634771968784696,0.01839772724309802,0.57960512221901,0.03333892498256217,,,,,,,,
20newsgroups,d-fedosd,LS,,0.2,3,"42,43,44",0.5944723588531637,0.01614220374132638,0.5456145223757882,0.0161240079635246,0.5705924510509502,0.029837494224704896,,,,,,,,
20newsgroups,d-fedosd,LS,,0.3,3,"42,43,44",0.5577040497628732,0.026807582148385443,0.48033651931288074,0.006607298481247021,0.5484553807346083,0.0331591928803105,,,,,,,,
20newsgroups,d-fedosd,LS,,0.4,3,"42,43,44",0.5693413476501712,0.015535438530956878,0.46870038907127093,0.008312188098151095,0.5491048909374134,0.04643517140310494,,,,,,,,
20newsgroups,d-fedosd,LS,,0.5,3,"42,43,44",0.5489408349934666,0.02014807655468813,0.46233835739367457,0.008795473339057435,0.5465778053202497,0.0491692575124908,,,,,,,,
20newsgroups,d-fedosd,LS,,0.6,3,"42,43,44",0.5302539220039221,0.008364037214905641,0.43273613550603257,0.010102844256693059,0.5483012450062428,0.05175530078870972,,,,,,,,
20newsgroups,d-fedosd,LS,,0.7,3,"42,43,44",0.47236283728219214,0.010903467360814727,0.3962549815664557,0.018988270005408477,0.5428661913108324,0.05314671925184649,,,,,,,,
