dataset,algorithm,seed,setting,k,r,selected_agents,selected_agents_count,macro_f1_mean,macro_f1_std,macro_f1_best,best_agent_id,mia_auc,mia_auc_std,trajectory_l1,trajectory_l2,label_l1,target_exposure,solver_success,solve_time_sec,run_dir
20newsgroups,d-federaser,42,AS,1,,9,1,0.09914666690982481,0.0,0.09914666690982481,9,0.49565826330532214,0.0,2.039762527097868,0.45307675043093126,0.8528164178825124,0.3099620723904703,True,0.013460636138916016,/home/xzq/private/llm-dfl-0525/artifacts/tdb_as_ls_k1to9_r0p1to1_seed424344_20260526/20newsgroups/d-federaser/strategy_tdb_count1/K10/G10_L5/alpha0.5/seed42_20251220_074624/dfu_20260526_190132
20newsgroups,d-federaser,42,AS,2,,5 9,2,0.3498861283643892,0.0,0.3498861283643892,5,0.5099439775910364,0.0,1.0447491395929636,0.21891433101136318,0.5203704237364019,0.16737113273017817,True,0.2208728790283203,/home/xzq/private/llm-dfl-0525/artifacts/tdb_as_ls_k1to9_r0p1to1_seed424344_20260526/20newsgroups/d-federaser/strategy_tdb_count2/K10/G10_L5/alpha0.5/seed42_20251220_074624/dfu_20260526_190132
20newsgroups,d-federaser,42,AS,3,,1 5 9,3,0.3563199665831244,0.0,0.3563199665831244,1,0.5133986928104575,0.0001746805502695578,0.8719618899728117,0.19234285148957822,0.361292127903473,0.1782198537189435,True,0.2808341979980469,/home/xzq/private/llm-dfl-0525/artifacts/tdb_as_ls_k1to9_r0p1to1_seed424344_20260526/20newsgroups/d-federaser/strategy_tdb_count3/K10/G10_L5/alpha0.5/seed42_20251220_074624/dfu_20260526_190222
20newsgroups,d-federaser,42,AS,4,,1 4 5 9,4,0.37773360830346125,0.036871966162843134,0.43542271454036163,5,0.5131652661064425,0.0028393746404360184,0.6954530039646285,0.1506414881715126,0.2055154747481042,0.16184709207344153,True,0.2780890464782715,/home/xzq/private/llm-dfl-0525/artifacts/tdb_as_ls_k1to9_r0p1to1_seed424344_20260526/20newsgroups/d-federaser/strategy_tdb_count4/K10/G10_L5/alpha0.5/seed42_20251220_074624/dfu_20260526_190258
20newsgroups,d-federaser,42,AS,5,,1 4 5 6 9,5,0.3527530082576522,0.03016388508173143,0.37681818181818183,5,0.5087394957983193,0.006405079036668224,0.4453575231363365,0.11477972242747723,0.18537723518460467,0.12956253328598114,True,0.2239696979522705,/home/xzq/private/llm-dfl-0525/artifacts/tdb_as_ls_k1to9_r0p1to1_seed424344_20260526/20newsgroups/d-federaser/strategy_tdb_count5/K10/G10_L5/alpha0.5/seed42_20251220_074624/dfu_20260526_190418
20newsgroups,d-federaser,42,AS,6,,1 4 5 6 7 9,6,0.36881123319977815,0.03321057635346403,0.4047533022533022,4,0.5044351073762838,0.013022616195710766,0.39681604486632877,0.0951820867618739,0.1411436569135679,0.1286760066061657,True,0.19765138626098633,/home/xzq/private/llm-dfl-0525/artifacts/tdb_as_ls_k1to9_r0p1to1_seed424344_20260526/20newsgroups/d-federaser/strategy_tdb_count6/K10/G10_L5/alpha0.5/seed42_20251220_074624/dfu_20260526_190540
20newsgroups,d-federaser,42,AS,7,,1 2 3 4 5 6 9,7,0.3330625293053182,0.021873117201526092,0.3599375332270069,5,0.500500200080032,0.009298965683069135,0.2941904964635894,0.07603063572372218,0.13792056415684398,0.126241790365386,True,0.12434124946594238,/home/xzq/private/llm-dfl-0525/artifacts/tdb_as_ls_k1to9_r0p1to1_seed424344_20260526/20newsgroups/d-federaser/strategy_tdb_count7/K10/G10_L5/alpha0.5/seed42_20251220_074624/dfu_20260526_190726
20newsgroups,d-federaser,42,AS,8,,1 2 3 4 5 6 8 9,8,0.34125119822673183,0.02841077057135135,0.39256493506493506,8,0.5275560224089636,0.017149822771044484,0.20040861765389445,0.048965187245432924,0.08808581263261699,0.13330265449937206,True,0.0803670883178711,/home/xzq/private/llm-dfl-0525/artifacts/tdb_as_ls_k1to9_r0p1to1_seed424344_20260526/20newsgroups/d-federaser/strategy_tdb_count8/K10/G10_L5/alpha0.5/seed42_20251220_074624/dfu_20260526_190934
20newsgroups,d-federaser,42,AS,9,,1 2 3 4 5 6 7 8 9,9,0.35034912273762275,0.03508042270683051,0.40333333333333343,7,0.5232804232804232,0.01339857532844218,1.8839096949108125e-15,4.103491957469961e-16,6.591949208711867e-16,0.1251586178331705,True,0.004773616790771484,/home/xzq/private/llm-dfl-0525/artifacts/tdb_as_ls_k1to9_r0p1to1_seed424344_20260526/20newsgroups/d-federaser/strategy_tdb_count9/K10/G10_L5/alpha0.5/seed42_20251220_074624/dfu_20260526_191142
20newsgroups,d-federaser,42,LS,,0.1,1 2 3 4 5 6 7 8 9,9,0.27236197843198345,0.04709822521734178,0.3350105624598525,8,0.5593993152816682,0.019601666854890003,,,,,,,/home/xzq/private/llm-dfl-0525/artifacts/tdb_as_ls_k1to9_r0p1to1_seed424344_20260526/20newsgroups/d-federaser/strategy_full_lora0.1_topratio_ours/K10/G10_L5/alpha0.5/seed42_20251220_074624/dfu_20260526_191441
20newsgroups,d-federaser,42,LS,,0.2,1 2 3 4 5 6 7 8 9,9,0.3244922034423851,0.029404194370529883,0.3662565942829101,7,0.534733893557423,0.020052644609642824,,,,,,,/home/xzq/private/llm-dfl-0525/artifacts/tdb_as_ls_k1to9_r0p1to1_seed424344_20260526/20newsgroups/d-federaser/strategy_full_lora0.2_topratio_ours/K10/G10_L5/alpha0.5/seed42_20251220_074624/dfu_20260526_191709
20newsgroups,d-federaser,42,LS,,0.3,1 2 3 4 5 6 7 8 9,9,0.3378903246071999,0.02228132171284285,0.37080169830169835,7,0.530578898225957,0.0232745036421375,,,,,,,/home/xzq/private/llm-dfl-0525/artifacts/tdb_as_ls_k1to9_r0p1to1_seed424344_20260526/20newsgroups/d-federaser/strategy_full_lora0.3_topratio_ours/K10/G10_L5/alpha0.5/seed42_20251220_074624/dfu_20260526_192003
20newsgroups,d-federaser,42,LS,,0.4,1 2 3 4 5 6 7 8 9,9,0.37446259165770546,0.05063643079670607,0.45811521811521816,7,0.5300031123560535,0.014465794343280209,,,,,,,/home/xzq/private/llm-dfl-0525/artifacts/tdb_as_ls_k1to9_r0p1to1_seed424344_20260526/20newsgroups/d-federaser/strategy_full_lora0.4_topratio_ours/K10/G10_L5/alpha0.5/seed42_20251220_074624/dfu_20260526_192223
